     	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M3.1	M4	M5	M6	M7	M8	M9
M0	0.00	0.29	0.66	0.72	0.75	0.80	0.83	0.84	0.88	0.89	0.90	0.90	0.90	0.26	0.32	0.45	0.55	0.61	0.64	0.63
M1.5	0.29	0.00	0.68	0.74	0.77	0.82	0.84	0.86	0.88	0.90	0.90	0.91	0.90	0.22	0.35	0.46	0.56	0.60	0.62	0.65
M10	0.66	0.68	0.00	0.41	0.49	0.61	0.65	0.69	0.74	0.77	0.78	0.80	0.80	0.62	0.55	0.51	0.34	0.30	0.26	0.14
M11	0.72	0.74	0.41	0.00	0.18	0.33	0.41	0.46	0.55	0.57	0.61	0.63	0.63	0.69	0.65	0.59	0.52	0.47	0.47	0.40
M12	0.75	0.77	0.49	0.18	0.00	0.20	0.29	0.35	0.46	0.49	0.55	0.56	0.57	0.73	0.69	0.64	0.58	0.54	0.54	0.49
M13	0.80	0.82	0.61	0.33	0.20	0.00	0.14	0.20	0.35	0.39	0.46	0.48	0.49	0.79	0.76	0.71	0.68	0.65	0.65	0.61
M14	0.83	0.84	0.65	0.41	0.29	0.14	0.00	0.09	0.30	0.37	0.44	0.46	0.49	0.81	0.79	0.73	0.71	0.69	0.69	0.66
M15	0.84	0.86	0.69	0.46	0.35	0.20	0.09	0.00	0.27	0.35	0.42	0.43	0.48	0.83	0.81	0.76	0.74	0.71	0.71	0.69
M16	0.88	0.88	0.74	0.55	0.46	0.35	0.30	0.27	0.00	0.20	0.23	0.26	0.32	0.86	0.85	0.80	0.79	0.76	0.76	0.75
M17	0.89	0.90	0.77	0.57	0.49	0.39	0.37	0.35	0.20	0.00	0.13	0.15	0.21	0.88	0.86	0.83	0.81	0.78	0.78	0.77
M19	0.90	0.90	0.78	0.61	0.55	0.46	0.44	0.42	0.23	0.13	0.00	0.11	0.19	0.88	0.87	0.84	0.82	0.79	0.79	0.78
M20	0.90	0.91	0.80	0.63	0.56	0.48	0.46	0.43	0.26	0.15	0.11	0.00	0.16	0.89	0.88	0.85	0.83	0.81	0.80	0.80
M21	0.90	0.90	0.80	0.63	0.57	0.49	0.49	0.48	0.32	0.21	0.19	0.16	0.00	0.88	0.87	0.85	0.83	0.82	0.81	0.80
M3.1	0.26	0.22	0.62	0.69	0.73	0.79	0.81	0.83	0.86	0.88	0.88	0.89	0.88	0.00	0.20	0.37	0.48	0.54	0.57	0.57
M4	0.32	0.35	0.55	0.65	0.69	0.76	0.79	0.81	0.85	0.86	0.87	0.88	0.87	0.20	0.00	0.28	0.40	0.49	0.51	0.51
M5	0.45	0.46	0.51	0.59	0.64	0.71	0.73	0.76	0.80	0.83	0.84	0.85	0.85	0.37	0.28	0.00	0.32	0.44	0.47	0.46
M6	0.55	0.56	0.34	0.52	0.58	0.68	0.71	0.74	0.79	0.81	0.82	0.83	0.83	0.48	0.40	0.32	0.00	0.23	0.28	0.28
M7	0.61	0.60	0.30	0.47	0.54	0.65	0.69	0.71	0.76	0.78	0.79	0.81	0.82	0.54	0.49	0.44	0.23	0.00	0.16	0.23
M8	0.64	0.62	0.26	0.47	0.54	0.65	0.69	0.71	0.76	0.78	0.79	0.80	0.81	0.57	0.51	0.47	0.28	0.16	0.00	0.19
M9	0.63	0.65	0.14	0.40	0.49	0.61	0.66	0.69	0.75	0.77	0.78	0.80	0.80	0.57	0.51	0.46	0.28	0.23	0.19	0.00
